47,17
45,6
5,20
37,39
39,1
34,29
6,34
3,39
12,17
20,6
29,17
6,50
49,42
6,36
32,20
26,29
33,8
4,3
19,28
11,38
23,15
31,38
41,6
26,22
48,29
46,33
30,7
9,3
12,37
4,13
23,13
38,30
4,14
48,47
4,13
27,10
36,27
1,38
20,27
10,45
33,15
21,23
6,4
9,32
16,17
13,46
6,29
27,6
9,25
14,3
16,49
32,27
6,39
9,8
37,37
35,49
30,5
46,21
23,43
22,37
42,24
47,20
46,11
27,15
23,42
11,13
10,44
14,44
1,20
23,1
17,15
6,20
2,7
21,49
4,31
17,10
11,15
13,23
26,11
12,39
40,18
13,12
15,48
28,19
31,44
46,19
17,34
18,14
19,32
36,12
2,12
19,36
8,12
6,4
43,37
6,19
29,26
49,37
24,44
48,31
14,49
26,14
33,14
23,6
27,47
26,1
20,17
22,30
26,1
39,43
37,34
49,9
49,14
35,34
12,41
41,9
25,17
34,5
30,36
43,20
39,44
32,15
20,6
37,11
21,5
3,20
7,7
41,3
26,7
21,20
16,50
12,26
24,39
23,41
15,20
28,49
30,10
4,23
49,8
12,41
26,28
35,44
18,29
28,26
10,2
31,48
19,41
33,26
7,4
27,35
49,45
13,25
16,22
15,24
29,39
7,41
15,18
8,34
45,47
44,3
36,34
24,26
13,17
7,48
37,12
2,12
42,44
18,2
31,13
12,19
11,28
31,18
10,23
36,38
20,48
4,8
2,17
17,18
46,49
42,6
21,50
46,48
50,21
31,25
26,19
6,47
12,28
2,3
17,12
28,13
35,8
22,29
26,11
32,4
14,39
30,1
47,20
43,26
5,6
31,37
8,11
5,9
1,36
21,11
39,44
4,14
19,13
38,35
25,47
38,49
27,33
23,36
8,23
43,46
6,28
4,22
7,34
21,31
41,38
33,32
6,47
14,37
42,6
2,41
1,20
6,5
18,43
38,46
19,2
17,36
38,1
6,36
21,25
10,49
29,2
15,14
22,24
2,2
48,46
34,21
32,3
48,20
18,29
47,46
38,32
27,7
39,12
8,48
45,5
29,19
4,11
6,46
37,42
19,36
21,12
1,13
34,23
36,35
50,44
17,13
10,19
4,25
9,16
19,46
48,30
28,21
4,14
31,18
9,37
27,2
6,29
25,29
35,27
15,46
22,7
1,35
47,29
27,38
1,46
35,36
24,34
44,36
47,46
1,21
16,31
40,38
